Source,t0,u0,te,rho,piEN,piEE,t0_err,u0_err,te_err,rho_err,piEN_err,piEE_err,chi2,cov_piEE_piEN,piE,piE_err
10249,2462013.427807841,0.07843994104189408,4.882842460437896,0.06086363904887435,0.00013043565071047818,-4.896995376254168e-08,202.49433899977547,1698.8393953725965,39.43881820435684,2988.020996399868,28654.341790570277,574.702494011381,0.9943272583163767,-14212314.512382109,0.0001304356599029661,28654.339771960225
10250,2461807.8752908255,0.2856463320323087,0.4656013580099611,7.102070814162479e-08,0.00027928327944830886,0.0001839604764224944,20.775166951800088,750.4921216544896,1.145996470969339,0.8058770008703581,772.1648143796294,701.6633975118236,1.0047046298492244,-178518.4841969422,0.0003344257870813692,751.5302075883392
10251,2462856.678997749,0.050969657972908165,2.8387232661545925,0.24750878668239695,1.2985031928637753e-06,4.69603338843665e-08,28.257534472288423,205.50508077445082,1.6542054690036379,63.214657772290366,173.58776827983175,67.03879657996576,0.992407933199597,-1816.3575057589637,1.2993520750112148e-06,173.49128032546253
10252,2462153.7957684384,4.065774849755994,2.414700598389193,0.014363160577553907,3.1370656091422827e-08,6.065405036453992e-05,17011.800998372506,1072.4435821091122,269.4529318618832,216.1416867832004,263.24248912145794,257.07369118874897,1.004148792204167,-17309.501583000456,6.065405847708963e-05,257.07369285871533
10253,2462491.661228285,0.09874710602311168,3.1007788047654055,0.13773387769668166,6.52479620685532e-07,4.078180379856281e-10,387.1482682922909,356.5109276179836,26.794430396621923,221.8775062437253,344.55710240898986,253.0402884593406,1.007700404587253,-25497.15212263039,6.524797481343676e-07,344.55707140502824
10254,2461806.3150985055,3.730696270471778,1.557604734529362,0.014455978321112178,0.0010684003112594882,-0.000441516781000384,8.027205341789328,3.6988642184128735,1.793632555775197,7.781458938013432,250.22415609974766,170.13868977164645,0.9970319477534055,10752.26218774541,0.001156034728286444,240.21151499161152
10256,2462701.0206872877,1.1828730478354457,15.0399658638252,0.014036183906884254,2.250997228347787e-05,-0.0033509420586495995,0.4636163402606504,0.024486699045643854,0.22898760086754552,4.173511136429693,0.3145524090897891,0.07558386443915659,1.0046733133223233,-0.02158343236295869,0.003351017663229936,0.07561168811724643
10257,2461953.1612420077,0.7450012264212398,2.6048904863656976,0.014435088960339213,0.0006139013021851356,4.829080338374346e-05,961.7048654737783,286.33565700028055,36.74395026504137,230.71024345908512,277.46661705667134,254.73420507136888,0.9835454123068151,-19234.618953007186,0.0006157977025907555,277.3325142030394
10259,2462356.2327421703,0.7794890371115657,0.0004909677106317765,0.03180542541240458,1.7131279861813605e-08,-1.559528445972764e-07,0.00044037690276688254,2.2805093795022113e-11,187.8235715575611,235.3424516950245,9626.249575957323,2414.8414448680383,1.0126996686691565,5814309.75601082,1.5689095094264047e-07,2620.4517965726604
10260,2461605.1504509933,2.1413204393162193,5.373488076751789,2.624158601531497e-10,0.0002976343857863571,0.0016247352884588746,15.742983128273561,2.8583424087671636,1.8296599931489035,0.4592680565255416,62.69609656553507,14.402973533576068,0.9896117210958816,-885.468775671196,0.001651772074217858,18.120111384772436
10261,2461834.475964994,1.1165142132959396,6.6683623992423655,0.02244119295484103,0.0014197757746909044,-1.172380919727412e-05,0.06635130918938399,0.01620721827126137,0.1274714343655088,0.021000007228673633,3.338128061876553,0.07728782470309968,1.0037065998194603,-0.25196818892055983,0.0014198241785873529,3.338014321182653
10262,2462966.654621712,0.04052805797121158,0.20740250564420595,0.4911627418821454,1.0053478843185328e-05,-3.231703628764584e-08,5.057368338434367e-05,2.136497067995608,0.0007775077724469049,0.0016580852866524985,251.48706759028337,13.40769352850317,1.015900299096647,-3371.8555943919564,1.005353078481433e-05,251.48577197388838
