u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
31.206,27.998,26.612,25.105,24.37,24.046,23.9368,0.3923314838827978,7761,7357,9.463111,2463278.576579123,19.11128768088486,0.9550971759544324,0.0004747865517191,-0.0086818565614741,0.011350184160335
30.725,27.696,26.359,25.075,24.445,24.17,24.0918,0.3308667769235981,7562,4164,5.450409,2462950.504712002,506.7519866252015,2.921790302879686,2.690783468094644e-05,0.0112227997671637,0.0088146607957445
29.09,26.425,25.211,24.306,23.86,23.654,23.6168,0.3297259747906978,5680,3593,2.855769,2461960.951820804,1165.6193416417118,2.7203147204372047,2.9621825613923527e-05,-0.0112203586447804,0.0001091867254117
31.591,28.233,26.818,25.129,24.309,23.943,23.8068,0.3225916789654582,7928,7834,5.122265,2462075.290670431,86.82252192862606,2.3109978022209963,0.0001554110504008,0.0003517242829728,0.0011922150600941
27.621,25.096,23.93,23.068,22.647,22.441,22.4098,0.400085821519729,7712,7463,6.205837,2461690.277846314,78.69007608894769,2.729454556344177,0.0001804482299094,0.0005424875416176,0.0031900551230683
29.252,26.552,25.327,24.414,23.964,23.758,23.7188,0.3188990025518815,7975,7780,6.303657,2462116.447542554,73.93238271911481,0.5143667937342252,0.0001457410882607,0.0024628468650577,3.732214160669904e-05
30.968,28.045,26.745,25.632,25.084,24.846,24.7868,0.2216425616283695,7804,7746,5.960135,2461793.001839189,61.16881076547971,2.3342121898812653,0.0001323233788989,0.0009328154923745,0.0002320796878425
30.75,27.61,26.239,24.814,24.116,23.811,23.7138,0.4396966541243399,6836,2194,8.3792,2461886.977395878,627.104821936777,1.723177690921426,2.0791950186561656e-05,0.0195499739288817,0.0089797225201131
20.37,19.232,18.922,18.872,18.897,18.907,19.3178,1.2724864335664907,6912,6778,5.32817,2461899.8841832373,118.08607404630904,2.427003901873108,0.0004970035494256,-0.0011086294569403,0.0012360712062868
31.262,28.06,26.675,25.175,24.442,24.12,24.0118,0.3955060769916921,7811,3293,11.44511,2462134.4940968268,223.4761322025536,1.8778000065635363,3.3626543000423854e-05,0.007002076668281,0.0240862928855482
15.316,14.799,15.107,15.376,15.561,15.644,16.3748,2.315544655730494,7837,5162,5.374584,2461754.672542898,532.1779565632887,2.301124400640149,0.0001754641486333,-0.0059797986881086,0.0059617025125308
30.758,27.689,26.337,24.999,24.342,24.056,23.9718,0.3768366730057275,7469,7412,4.561677,2462127.666815285,81.78882382108759,1.8240710414321923,0.0002296989572953,0.0007515902815583,0.0006716552416483
31.065,28.12,26.812,25.641,25.064,24.814,24.7498,0.2541868978068002,7581,6634,6.115541,2462887.684200637,260.4646937403351,0.4671582938278243,3.575441983940953e-05,-0.0042996642830471,0.0003944550022966
21.286,20.001,19.588,19.495,19.493,19.49,19.8428,1.107014121301617,7974,7590,11.47356,2462282.5858923304,40.87496118263604,2.9811928910042518,0.000502814972249,0.0034185025108925,0.0035680578599884
29.645,26.905,25.666,24.742,24.285,24.079,24.0368,0.3059519044380764,7616,6761,6.594287,2461737.874926155,241.61080919004743,2.7323091214103004,4.282810282936885e-05,-0.0005036955064825,0.0037731015821079
31.028,28.0,26.663,25.381,24.751,24.476,24.3978,0.3297259747906981,7547,7303,4.488119,2462404.2079875334,110.9685972894131,0.1737408692914962,0.0001490051115684,-0.0006623567349931,0.0031784015881388
30.949,27.873,26.519,25.173,24.512,24.224,24.1378,0.384284759423735,7973,6832,3.334231,2462642.3709502765,292.2033324606102,2.2659625879841863,8.403058036935782e-05,0.0063723104243995,0.0045891581127593
31.688,28.459,27.066,25.533,24.786,24.456,24.3428,0.3764030734007391,7963,7619,4.083167,2463247.1548876483,108.20511139791935,0.3797806888122089,0.0001817265332787,-0.0012038604918126,0.0045301368051247
31.401,28.206,26.822,25.331,24.603,24.283,24.1758,0.4005467025975712,7557,6804,6.594647,2461993.766136297,136.6168306578292,1.6133319068298193,9.99297486558621e-05,0.0017591090117061,0.0056705300526514
30.726,27.861,26.581,25.562,25.059,24.839,24.7858,0.2541868978067999,7840,7760,5.245572,2461551.523475214,85.29074590589225,0.1178007121304006,0.0001230918075326,0.0004922801421696,0.0009539875811252
31.288,28.028,26.627,25.056,24.291,23.953,23.8348,0.3623707717075571,7958,4119,4.600206,2461604.1645899527,565.8583737078231,0.7711131758116587,2.9713308688751564e-05,-0.0050769343896145,0.0156295095022788
31.022,27.917,26.554,25.171,24.493,24.196,24.1058,0.415100408592613,7952,6967,2.341798,2463157.7051366954,135.2170544121125,0.1034185701241926,0.0002800159072868,-0.0063151893601716,0.0195114471209656
28.807,26.294,25.131,24.249,23.818,23.608,23.5798,0.3812002360242491,6863,6594,5.986806,2462859.9702673927,71.97976487900547,0.3600654515575817,0.0002189376080283,0.0050300234810924,0.0002866244391912
20.157,19.081,18.839,18.821,18.865,18.883,19.3298,1.3968608994390748,7503,2768,8.347899,2461928.607308753,496.871767761212,2.503200824378397,7.624011163084163e-05,-0.0127706806417584,0.0154911248074168
31.119,27.982,26.612,25.192,24.496,24.191,24.0948,0.4437651171732517,7716,7177,5.372066,2463069.7096097344,143.94616937398953,0.4980323060087975,0.0001263299446922,0.0009432576784687,0.004499487336793
31.966,28.727,27.332,25.788,25.035,24.703,24.5878,0.3720944230486839,6983,5865,5.673848,2461515.734108868,302.3069407514652,1.466513197474084,5.276818047385725e-05,0.0024472942597423,0.0052726721028323
